label,text,conversation
Abercrombie,That loud bang? Tee hee~ You were gone for so long I was getting bored so I let a shot loose~,1
Abercrombie,It's so much fun to fire my gun~!,1
Abercrombie,My hobby's collecting shell casings~! Hey don't you think shell casings are super cool?,2
Abercrombie,Top of the mornin' granny Hood!,2
Abercrombie,Oh have I hidden your mail~? Want it back? Then get some snacks and bar-ter for it! Bar-ter for it!,4
Abercrombie,Target spotted calculating trajectory Bugger it's just the commission team. Laaaame,4
Abercrombie,Tee hee~ I might be loading a teensy bit too much gunpowder~,5
Abercrombie,Tee hee what should I knock out first? Their bow? Turret? Engine?,5
Abercrombie,Kaboom! Ahaha~ You can't beat the Mark I!,6
Abercrombie,Tsk. Lame.,6
Abercrombie,Be torn to shreds by my shells!,7
Abercrombie,Whuaaah! My armour!,7
Abercrombie,Tee hee~ How do you like my habanero curry? – Huh? W-wait Nelson! I didn't know that one was yours! – Don't hurt meeee!,8
Abercrombie,Feeling stressed out? Then try out my Mark I! Fire a shot for every worry you have to make them disappear with a bang! You'll get hooked on it!,8
Abercrombie,W-wow! Thanks! I'll never take it off! I-in exchange take my Mark I! Roberts told me you're supposed to give your partner your dearest possession at times like these!,9
Abercrombie,Abercrombie's special handmade chocolates! Have a taste Oh come on why make me wait? Did I put anything funny in it? Of course not. Really!,9
Abercrombie,A great day for chocolate huh? More like a great day for chocolatey mischief! By the way that doesn't apply to this cup of hot chocolate so you have nothing to worry about when enjoying it~,10
Abercrombie,Tee hee~ Who knows where I've planted my pumpkin surprise~,10
Abercrombie,Trick or treat! Give me candy or you'll taste one of my pranks! Although even if you give me some well you'll see for yourself! Tee hee~,11
Abercrombie,Take a gander at my Halloween Mark I! Looks cracking doesn't it!,11
Abercrombie,If only we had more holidays where you could cause mischief and get away with it scot-free~,12
Abercrombie,Taste the retribution of my Mark I! (Pow!),12
Abercrombie,I wonder how people would react if they got my custom-made horseradish candy~ Tee hee~!,13
Abercrombie,'ello there! How about a glass of delicious and nutritious carrot juice? Wait stop not that one! THIS one's for you! Phew Disaster averted,13
Abercrombie,Carrot juice has just the perfect consistency. You can put anything you like in the glass and nobody'll know!,14
Abercrombie,You're silly Erebus. All I asked for was a little inspiration not the full recipe for some kind of magic potion!,14
Abercrombie,Bottoms up like adults do! Drink up Mark I!,15
Abercrombie,Bring our customers their drinks Manjuus! And be careful so you don't drop them!,15
Abukuma,Welcome back. Want to try some fresh torpedoes?,16
Abukuma,My name seems a bit complicated but it's actually easy to read. Why don't you try it?,16
Abukuma,Dress up? Oh these socks are actually pretty easy to take off. Want to try yourself?,17
Abukuma,We're starting a new mission. Got it?,17
Abukuma,These rewards aren't so bad,18
Abukuma,You've got new mail!,18
Abukuma,Did everyone make it back in one piece?,19
Abukuma,This isn't a bad feeling at all,19
Abukuma,First Torpedo Squadron Abukuma Moving out!,20
Abukuma,I'm number one? Hm I don't feel anything special,20
Abukuma,Everyone prepare to retreat I'll cover the rear!,21
Abukuma,Everyone. Gangway,21
Abukuma,Don't panic wait for the right moment to strike!,22
Abukuma,Don't touch me,22
Abukuma,I look trigger happy? I actually prefer being an escort more than I do engaging in combat,23
Abukuma,Combat retrofit complete! First Torpedo Squadron flagship Abukuma ready to sortie any time!,23
Abukuma,Have you finally memorized my name? Just read it out. You can give it a few tries~,24
Abukuma,The most important thing is that everyone stays safe.,24
Acasta,Is there something on my face?,25
Acasta,Hmm? Not very talkative? *Yawn* I guess it's because I'm always so sleepy,25
Acasta,Wha? Guess I fell asleep. With weather this fine I couldn't help it,26
Acasta,Zzzzz Ugh I'm trying to sleep don't poke me like that,26
Acasta,Uhh if anyone sees us you'll get arrested.,27
Acasta,Maybe you should take a look at the mission log?,27
Acasta,*Yawn* Maybe the rewards are here now,28
Acasta,Got some mail Wonder if it's for you.,28
Acasta,Welcome back *Yawn* Guess I'm a little sleepy,29
Acasta,I've gotten stronger I'll work harder so look forward to that.,29
Acasta,Everyone calm down. Seize the chance and hit the enemy where it hurts.,30
Acasta,We won. Well at least I didn't make a fool of myself I guess.,30
Acasta,I figure this outcome isn't something to celebrate,31
Acasta,Guess I should put in a little more effort?,31
Acasta,Keep it down will you,32
Acasta,I just can't be bothered Maybe I should go to sleep,32
Acasta,I'm not all that talkative but we don't even need words to understand each other do we?,33
Acasta, Sorry I'm just so happy that I don't even know what to say I'll take good care of this,33
Acasta,Hey wanna eat this Valentine's chocolate with me? I'd feel anxious thinking about when you're gonna eat it so enjoying it together with you could ease my mind maybe,34
Acasta,You don't need to eat this chocolate right now just call me over when you feel hungry. I wanna see how happy it makes you and memorise your look to motivate me in the future Hmm I think I taste-tested too much and now I'm getting food coma Zzzzz,34
Acasta,I'm excited about this day since my chocolate always makes you so happy. But I also had to get up early to make it so I'd appreciate it if you could take it now so I can go to bed,35
Acasta,I just can't be bothered even after retrofitting,35
Acasta,I'm dressing differently but you're still just as nice to me Thank goodness,36
Acasta,*Yawn* Nobody'll see me yawning if I cover it up with my turret I think,36
Acasta,Hm? Guess we're both about to head out Don't stare at me like that Even I go outdoors sometimes Since we're both uh headed the same way maybe we could walk there together?,37
Acasta,Even I go on these fashionable outings They do wear me out though,37
Acasta,I always bring some weapons with me in case I'm needed for a sudden sortie I guess.,38
Acasta,Recently I've gotten a lot of compliments like see a little fashion could make you cute after all *Sigh* it feels kinda odd I guess,38
Acasta,*Sigh* Maybe I should swap back to my old clothes,39
Acasta,Uhh something might blow up if you poke me so casually.,39
Acasta,I heard you're supposed to hang lanterns up everywhere during the Spring Festival so Ardent and I gave it a try! What do you think? Pretty cute right? Um I was talking about the lanterns,40
Acasta,It was no easy feat hanging up all these lanterns Make sure to take it all in okay?,40
Acasta,These red strips hanging from the lanterns? They're probably riddles of some sort? The Dragon Empery sure knows how to put on some interesting events,41
Acasta,Zzzz Shoot I dozed off *sigh* It's already this late,41
Acasta,I wonder if this outfit brings out my girlish side,42
Acasta,What a gentle glow I think I'm getting sleepy,42
Acasta,Looking after rabbits is a lot more enjoyable than running around doing errands There might be something therapeutic about looking after these cuties,43
Acasta,If you don't get out of that teacup I won't be able to pour the tea,43
Acasta,As soon as I touch these cute little bunny ears Haau it's cuteness overload,44
Acasta,Ardent stop! You can't feed our snacks to the bunnies,44
Acasta,Zzz Hnn Oh! It seemed like I was taking a nap with the rabbits huh,45
Acasta,Glorious was shooting strange glances at me just earlier,45
Achilles,Eh? Me liking potatoes does not match with my image?!,46
Achilles,Com~man~der! What is that delicious looking thing?,46
Achilles,Al~right~ Then I'm eating the butter~,47
Achilles,Oww-- I cannot move my head or body anymore~ I don't want to do anything for a month~,47
Achilles,Hey hey wha~t are you looking for?,48
Achilles,No problem whatsoever! No matter how many missions there are just bring them on!,48
Achilles,Remember your rewards too~,49
Achilles,New mails~,49
Achilles,A happy report~ from Peppy Achilles~! The commissions are done!,50
Achilles,Since I've become stronger my feet are more resilient now~,50
Achilles,Wahaha! Let's go! It's action time!,51
Achilles,Ooo Maybe my talent has yet to bloom?,51
Achilles,Achilles attack!,52
Achilles,Did you know men who are virgins until 30 years old become wizards!,52
Achilles,Living a real normal life Aaah I'm doomed~ (mumbling to herself),53
Achilles,Ehehe I never thought that cooking for people I like would be this fun Just leave it to me Achilles from here on~,53
Achilles,The cute and charming Achilles is SuperRetroFitted! Even my heel won't give me any problems now! Well not like it really ever did before ahaha~,54
Achilles,Being here now I can chat with anyone whenever! Stoked as a stove I am!,54
Achilles,You trying to hide some good chow from me? C'mon let me have a taste!,55
Achilles,Let's go and sail off into the sunset! Strewth this is what being a teeny's all about eh~,55
Achilles,Target: enemy at 12 o'clock~! Shooooot!,56
Admiral_Graf_Spee,I will fight for you till the very end.,56
Admiral_Graf_Spee,No matter how poor the odds are I will always head for the battlefield. That way people will admire me.,57
Admiral_Graf_Spee,Wars don't exist for mindless slaughter they exist for victory.,57
Admiral_Graf_Spee,One's first battle being their last That sort of thing isn't all that unusual for us Iron Blood ships.,58
Admiral_Graf_Spee,Give talking to people a try? I've always been alone so what am I supposed to talk about,58
Admiral_Graf_Spee,Once we've been assigned a mission we must complete it no matter what it is.,59
Admiral_Graf_Spee,I see that unlike me in the past you actually finished your mission.,59
Admiral_Graf_Spee,This letter Thank goodness it has nothing to do with Renown.,60
Admiral_Graf_Spee,A commission has been completed? That means they weren't ambushed. Thank goodness.,60
Admiral_Graf_Spee,So this is power,61
Admiral_Graf_Spee,For the honor and prosperity of Iron Blood and for even greater glory!,61
Admiral_Graf_Spee,How long will this victory actually last,62
Admiral_Graf_Spee,We've lost But I'm not giving up! It's not over yet!,62
Admiral_Graf_Spee,In the name of all that is dear to me!,63
Admiral_Graf_Spee,I have to hold out just a little longer!,63
Admiral_Graf_Spee,I sailed alone fought alone and sunk alone Although I am who I am didn't I still contribute to Iron Blood's cause?,64
Admiral_Graf_Spee,These hands are for grasping victory Even though I will never again be able to hug the people important to me what's done is done.,64
Admiral_Graf_Spee,No matter how much I fight I can't fill the void in my heart And being away from you is the reason why,65
