That loud bang? Tee hee~ You were gone for so long I was getting bored so I let a shot loose~	It's so much fun to fire my gun~!
My hobby's collecting shell casings~! Hey don't you think shell casings are super cool?	Top of the mornin' granny Hood!
Whuaah! Hey Wales! Granny Hood is giving me creepy looks~!	Whuaaah!
Oh have I hidden your mail~? Want it back? Then get some snacks and bar-ter for it! Bar-ter for it!	Target spotted calculating trajectory Bugger it's just the commission team. Laaaame
Tee hee~ I might be loading a teensy bit too much gunpowder~	Tee hee what should I knock out first? Their bow? Turret? Engine?
Kaboom! Ahaha~ You can't beat the Mark I!	Tsk. Lame.
Be torn to shreds by my shells!	Whuaaah! My armour!
Tee hee~ How do you like my habanero curry? – Huh? W-wait Nelson! I didn't know that one was yours! – Don't hurt meeee!	Feeling stressed out? Then try out my Mark I! Fire a shot for every worry you have to make them disappear with a bang! You'll get hooked on it!
W-wow! Thanks! I'll never take it off! I-in exchange take my Mark I! Roberts told me you're supposed to give your partner your dearest possession at times like these!	Abercrombie's special handmade chocolates! Have a taste Oh come on why make me wait? Did I put anything funny in it? Of course not. Really!
A great day for chocolate huh? More like a great day for chocolatey mischief! By the way that doesn't apply to this cup of hot chocolate so you have nothing to worry about when enjoying it~	Tee hee~ Who knows where I've planted my pumpkin surprise~
Trick or treat! Give me candy or you'll taste one of my pranks! Although even if you give me some well you'll see for yourself! Tee hee~	Take a gander at my Halloween Mark I! Looks cracking doesn't it!
If only we had more holidays where you could cause mischief and get away with it scot-free~	Taste the retribution of my Mark I! (Pow!)
I wonder how people would react if they got my custom-made horseradish candy~ Tee hee~!	'ello there! How about a glass of delicious and nutritious carrot juice? Wait stop not that one! THIS one's for you! Phew Disaster averted
Carrot juice has just the perfect consistency. You can put anything you like in the glass and nobody'll know!	You're silly Erebus. All I asked for was a little inspiration not the full recipe for some kind of magic potion!
Bottoms up like adults do! Drink up Mark I!	Bring our customers their drinks Manjuus! And be careful so you don't drop them!
Welcome back. Want to try some fresh torpedoes?	My name seems a bit complicated but it's actually easy to read. Why don't you try it?
Dress up? Oh these socks are actually pretty easy to take off. Want to try yourself?	We're starting a new mission. Got it?
These rewards aren't so bad	You've got new mail!
Did everyone make it back in one piece?	This isn't a bad feeling at all
First Torpedo Squadron Abukuma Moving out!	I'm number one? Hm I don't feel anything special
Everyone prepare to retreat I'll cover the rear!	Everyone. Gangway
Don't panic wait for the right moment to strike!	Don't touch me
I look trigger happy? I actually prefer being an escort more than I do engaging in combat	Combat retrofit complete! First Torpedo Squadron flagship Abukuma ready to sortie any time!
Have you finally memorized my name? Just read it out. You can give it a few tries~	The most important thing is that everyone stays safe.
Is there something on my face?	Hmm? Not very talkative? *Yawn* I guess it's because I'm always so sleepy
Wha? Guess I fell asleep. With weather this fine I couldn't help it	Zzzzz Ugh I'm trying to sleep don't poke me like that
Uhh if anyone sees us you'll get arrested.	Maybe you should take a look at the mission log?
*Yawn* Maybe the rewards are here now	Got some mail Wonder if it's for you.
Welcome back *Yawn* Guess I'm a little sleepy	I've gotten stronger I'll work harder so look forward to that.
Everyone calm down. Seize the chance and hit the enemy where it hurts.	We won. Well at least I didn't make a fool of myself I guess.
I figure this outcome isn't something to celebrate	Guess I should put in a little more effort?
Keep it down will you	I just can't be bothered Maybe I should go to sleep
I'm not all that talkative but we don't even need words to understand each other do we?	Sorry I'm just so happy that I don't even know what to say I'll take good care of this
